Parola,Esempio,Note,Pronuncia,Significato in Italiano,Tipo
clumsy,He's quite clumsy and often breaks things.,,/ˈklʌm.zi/,"Goffo, maldestro",Aggettivo
assertive,You need to be more assertive in meetings.,,/əˈsɜː.tɪv/,"Assertivo, sicuro di sé",Aggettivo
egotistical,His egotistical behavior annoyed everyone.,,/ˌiː.ɡəˈtɪs.tɪ.kəl/,"Egocentrico, presuntuoso",Aggettivo
gullible,Don't be so gullible – he's obviously lying.,,/ˈɡʌl.ə.bəl/,"Credulone, ingenuo",Aggettivo
assured,She spoke with an assured tone of voice.,,/əˈʃɔːd/,"Sicuro, certo",Aggettivo
bred,These dogs were bred for hunting.,,/bred/,"Allevato, cresciuto",Verbo (past participle di 'breed')
brought up,She was brought up in a small village.,,/brɔːt ʌp/,"Cresciuto, educato",Phrasal verb
deprecating (self-deprecating),His self-deprecating humor made everyone laugh.,,/ˈdep.rə.keɪ.tɪŋ/,"Autocritico, che si sminuisce",Aggettivo
well-mannered,This boy is so well‑mannered.,,/ˌwel ˈmæn.əd/,Ben educato,Aggettivo
reliant (on),Many elderly people are reliant on their families.,,/rɪˈlaɪ.ənt/,"Dipendente da, che fa affidamento su",Aggettivo
constrain,Budget cuts will constrain our options.,,/kənˈstreɪn/,"Limitare, costringere",Verbo
well-rounded,She has a well‑rounded education.,,/ˌwel ˈraʊn.dɪd/,"Completo, a tutto tondo",Aggettivo
out of character,It was out of character for him to be late.,,,"Fuori dal personaggio, non da lui/lei",Espressione
look down on,She tends to look down on people with less money.,,,Guardare dall'alto in basso,Phrasal verb
well-liked,He is well‑liked by his colleagues.,,,Benvoluto,Aggettivo
inherent,Risks are inherent in any investment.,,/ɪnˈher.ənt/,"Intrinseco, connaturato",Aggettivo
clear divide,There is a clear divide between the two groups.,,,Netta divisione,Sintagma nominale
on the one hand ... on the other (hand),On the one hand it's safer; on the other it's slower.,,,Da un lato ... dall'altro,Connettore
nevertheless,"It was raining; nevertheless, we went out.",,/ˌnev.ə.ðəˈles/,"Tuttavia, nondimeno",Connettore/Avv.
